"","X","ParcelId","Address","SalePrice","SaleDate","SaleCondition","AssessedValue","ParcelType","YearBuilt","GrLivArea","BsmtFinSF1","LotArea","Bedrooms","CentralAir","Fireplaces","Occupancy","Style","Neighborhood","InstrumentNo","Error.YearBuilt","Error.LotArea","Error.GrLivArea","Error.Neighborhood","Error.Score"
"198",332,535150300,2004 GRAND AVE,280000,6/1/2011 0:00,Normal,312000,Dwg&Lot,1918,3112,1220,25419,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NAmes,201105936,-2.30133514002349,-2.27096890720045,-3.28797884279911,0.366437186804748,-7.4938457032183
"199",581,903430060,623 HODGE AVE,104000,7/1/2009 0:00,Abnorml,159200,Dwg&Lot,1912,2229,0,5520,5,Yes,0,Single-family detached (includes detached townhouses),Two and one-half story:  3rd level finished,OldTown,909482,-2.428971920121,-0.557187133442229,-2.0953149890149,0.246117602940319,-4.83535643963781
"200",13482,528120160,3121 BECKLEY ST,312900,5/1/2013 0:00,Normal,302600,Dwg&Lot,2004,1713,1088,9591,3,Yes,1,Single-family detached (includes detached townhouses),One story,NridgHt,201610959,-0.938313875774836,-0.575616058724259,-1.54587001596656,0.142593315048047,-2.91720663541761
"201",13202,908208020,301 SUNFLOWER DR,157000,1/1/2013 0:00,Normal,151200,Dwg&Lot,2003,1121,0,8546,2,Yes,0,Single-family detached (includes detached townhouses),One story,Edwards,201300989,-0.927969431336756,-0.550316618970656,-1.02376318753653,-4.667171707192,-7.16922094503594
"202",7288,914476010,622 CRYSTAL ST,167000,7/1/2010 0:00,Normal,179800,Dwg&Lot,1977,1279,920,10125,3,Yes,2,Single-family detached (includes detached townhouses),One story,Mitchel,201007363,-1.57615647023158,-0.597691823560086,-1.11659623055719,0.179445972994858,-3.110998551354
"203",826,535355100,427 13TH ST,112000,5/1/2006 0:00,Normal,123800,Dwg&Lot,1924,1310,617,7000,2,Yes,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,OldTown,605102,-2.21372857962474,-0.544791573672403,-1.14368629598296,0.246117602940319,-3.65608884633979
"204",13737,907425020,4708 TWAIN ST,137144,7/1/2004 0:00,Partial,149900,Dwg&Lot,2004,848,662,4438,1,Yes,1,Townhouse:  end unit,One story,CollgCr,410275,-0.938313875774836,-0.570183252620245,-1.07900043439574,0.207655062197157,-2.37984250059366
"205",2382,902301080,515 8TH ST,119900,3/1/2013 0:00,Normal,119200,Dwg&Lot,1947,1284,312,3500,2,Yes,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,OldTown,201303734,-2.03059660656386,-0.584614073279601,-1.12063876229077,0.246117602940319,-3.48973183919391
"206",7687,527180100,3817 FLETCHER BLVD,180500,5/1/2009 0:00,Normal,221200,Dwg&Lot,1990,1442,0,11851,3,Yes,0,Single-family detached (includes detached townhouses),One story,Gilbert,908015,-1.1257342258114,-0.708698332008623,-1.27386125213305,0.169705196858899,-2.93858861309417
"207",4302,532376090,1328 GARFIELD AVE,143900,3/1/2007 0:00,Normal,178300,Dwg&Lot,1962,1696,716,13673,3,Yes,1,Single-family detached (includes detached townhouses),One story,Sawyer,703167,-1.84949325252919,-0.86980517737939,-1.52882734971422,0.184833613260601,-4.0632921663622
"208",3566,534428020,812 HUNZIKER DR,141000,4/1/2008 0:00,Normal,150200,Dwg&Lot,1960,1100,725,12493,3,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,804627,-1.86597052285271,-0.761504729339545,-1.01687864176999,0.366437186804748,-3.2779167071575
"209",7884,906402070,4929 UTAH DR,277000,4/1/2007 0:00,Normal,298900,Dwg&Lot,1988,2062,1065,14364,3,Yes,1,Single-family detached (includes detached townhouses),Two story,SawyerW,703634,-1.1938695632816,-0.938487478056663,-1.90695790149792,0.169520157082113,-3.86979478575407
"210",4502,534403050,1304 20TH ST,145000,7/1/2008 0:00,Normal,159400,Dwg&Lot,1964,1092,787,8250,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,808381,-1.8304157799464,-0.546824346866849,-1.01466822199859,0.366437186804748,-3.0254711620071
"211",1387,909100170,2905 WOOD ST,98000,4/1/2008 0:00,Normal,90400,Dwg&Lot,1925,864,468,5604,2,No,0,Single-family detached (includes detached townhouses),One story,Edwards,201308922,-2.20325062819859,-0.556255012520125,-1.0668861334995,-4.667171707192,-8.49356348141021
"212",15882,905453040,218 CRANE AVE,234500,5/1/2015 0:00,Normal,218300,Dwg&Lot,2009,1212,988,10420,3,Yes,0,Single-family detached (includes detached townhouses),One story,Edwards,201504102,-1.05017930201753,-0.612586197101423,-1.06895197906342,-4.667171707192,-7.39888918537436
"213",15959,528456180,2811 ASPEN RD,252678,7/1/2009 0:00,Partial,270300,Dwg&Lot,2009,1852,822,8640,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Somerst,909685,-1.05017930201753,-0.551707872556379,-1.68753952420264,0.154682497497796,-3.13474420127875
"214",9240,907135230,5430 FROST DR,172500,7/1/2014 0:00,Normal,159800,Dwg&Lot,1995,990,716,13568,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,201407459,-0.989320942301613,-0.859697353500855,-1.01168179025194,0.207655062197157,-2.65304502385725
"215",7060,907200290,103 SANDBURG CT,184000,7/1/2016 0:00,Normal,175400,Dwg&Lot,1977,1392,578,10900,3,Yes,0,Single-family detached (includes detached townhouses),Two story,CollgCr,201607592,-1.57615647023158,-0.640858243609549,-1.22317069523147,0.207655062197157,-3.23253034687545
"216",3798,535180070,210 21ST ST,165000,10/1/2014 0:00,Normal,154200,Dwg&Lot,1957,1236,360,10011,2,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,201409504,-1.8954324673458,-0.592487130648184,-1.08391671376129,0.366437186804748,-3.20539912495053
"217",13729,907412070,4817 WALLER ST,210000,4/1/2008 0:00,Normal,228800,Dwg&Lot,2004,1436,946,8450,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,804174,-0.938313875774836,-0.548996081175002,-1.26781322806762,0.207655062197157,-2.5474681228203
"218",867,902100130,621 12TH ST,107000,9/1/2006 0:00,Family,112700,Dwg&Lot,1925,1328,0,9906,3,No,0,Single-family detached (includes detached townhouses),Two story,OldTown,201401453,-2.20325062819859,-0.58794083154329,-1.16050642583605,0.246117602940319,-3.70558028263761
"219",2018,909425010,2160 COUNTRY CLUB BLVD,311500,5/1/2008 0:00,Normal,289300,Dwg&Lot,1939,1954,341,15660,3,Yes,2,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,Crawfor,805831,-2.10087768467334,-1.0746014111483,-1.79146288434141,0.153472234444765,-4.81346974571828
"220",14466,528228545,2427 LAKESIDE DR,174500,12/1/2010 0:00,Normal,190800,Dwg&Lot,2005,1248,16,3010,2,Yes,0,Townhouse:  end unit,One story,Blmngtn,201012979,-0.955077842897414,-0.596055042202909,-1.09220061985049,1,-1.64333350495081
"221",15124,906382040,324 HARTFORD DR,204900,4/1/2006 0:00,Partial,215000,Dwg&Lot,2006,1498,0,8990,2,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,605994,-0.97546921316367,-0.558387111875574,-1.33021120623405,0.207655062197157,-2.65641246907614
"222",12105,528235090,3827 BRICKMAN AVE,275000,8/1/2014 0:00,Normal,249300,Dwg&Lot,2002,2267,0,8068,4,Yes,1,Single-family detached (includes detached townhouses),Two story,Gilbert,201407380,-0.921615268341063,-0.545306896726157,-2.13864048768647,0.169705196858899,-3.43585745589479
"223",5878,527356060,2911 EISENHOWER AVE,179900,2/1/2006 0:00,Normal,184900,Dwg&Lot,1975,1553,550,11475,3,Yes,1,Single-family detached (includes detached townhouses),Two story,NWAmes,601810,-1.63801325726828,-0.680359746319647,-1.38167920403637,0.211509979623512,-3.48854222800078
"224",6006,527425060,902 TOP O HOLLOW RD,97000,3/1/2009 0:00,Abnorml,130000,Dwg&Lot,1971,864,704,10500,2,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,902748,-1.73397618032478,-0.617021160475898,-1.0668861334995,0.366437186804748,-3.05144628749543
"225",12867,528166060,3214 HARRISON RD,500000,5/1/2014 0:00,Normal,516800,Dwg&Lot,2003,2392,1893,13472,3,Yes,1,Single-family detached (includes detached townhouses),One story,NridgHt,201403938,-0.927969431336756,-0.850539057038614,-2.28639401209496,0.142593315048047,-3.92230918542228
"226",6070,527451280,1362 BARKLEY CT,62500,1/1/1990 0:00,Normal,120000,Dwg&Lot,1971,1302,294,1680,3,Yes,1,Townhouse:  end unit,Two story,Br'Dale,278-77,-1.73397618032478,-0.651971802928713,-1.1363107313445,1,-2.522258714598
"227",8946,528358040,3107 ASPEN RD,290000,6/1/2007 0:00,Abnorml,323900,Dwg&Lot,1995,2520,565,9950,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NoRidge,707390,-0.989320942301613,-0.589823727966315,-2.44575370574626,0.157473634560831,-3.86742474145336
"228",5153,527451060,1450 TRUMAN PL,106000,9/1/2008 0:00,Normal,103700,Dwg&Lot,1970,987,321,1869,2,Yes,0,Townhouse:  inner unit,Two story,Br'Dale,811215,-1.75225134417023,-0.640759203341332,-1.01231731652886,1,-2.40532786404042
"229",5593,905104210,823 YUMA AVE,139000,7/1/2013 0:00,Normal,132100,Dwg&Lot,1967,912,842,8521,3,Yes,1,Single-family detached (includes detached townhouses),One story,Sawyer,201307727,-1.79543580675333,-0.54996017768768,-1.03917949489483,0.184833613260601,-3.19974186607523
"230",14461,528228435,2406 WESTWIND DR,192500,5/1/2009 0:00,Normal,221900,Dwg&Lot,2005,1555,16,3182,2,Yes,1,Townhouse:  end unit,One story,Blmngtn,906258,-0.955077842897414,-0.591475764179868,-1.38739996305684,1,-1.93395357013412
"231",3686,535153070,2209 BURNETT AVE,168000,6/1/2014 0:00,Normal,160900,Dwg&Lot,1959,1194,0,8760,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,201405312,-1.87445193545398,-0.553693553701974,-1.05922662441827,0.366437186804748,-3.12093492676947
"232",8907,528321010,3318 RIDGETOP RD,400000,1/1/2015 0:00,Family,455400,Dwg&Lot,1995,2794,1089,15138,4,Yes,2,Single-family detached (includes detached townhouses),Two story,NoRidge,201500788,-0.989320942301613,-1.01888542296335,-2.82014093503829,0.157473634560831,-4.67087366574242
"233",6080,527451390,1322 BARKLEY CT,90000,10/1/2010 0:00,Normal,101200,Dwg&Lot,1972,987,305,1680,2,Yes,0,Townhouse:  end unit,Two story,Br'Dale,201010789,-1.71390354011998,-0.651971802928713,-1.01231731652886,1,-2.37819265957755
"234",7065,907200340,5203 SCHUBERT ST,160000,8/1/2015 0:00,Normal,143700,Dwg&Lot,1976,894,894,10650,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,201508709,-1.60646357736582,-0.625643167770859,-1.04832445714199,0.207655062197157,-3.07277614008151
"235",12109,528240070,3907 WESTLAWN DR,240000,5/1/2014 0:00,Normal,252100,Dwg&Lot,2002,1960,625,7851,4,Yes,2,Single-family detached (includes detached townhouses),Two story,Gilbert,201404216,-0.921615268341063,-0.544231789387721,-1.79764647186673,0.169705196858899,-3.09378833273662
"236",6064,527451180,1315 BARKLEY CT,96000,2/1/2010 0:00,Normal,103000,Dwg&Lot,1971,987,156,1680,2,Yes,0,Townhouse:  inner unit,Two story,Br'Dale,201214326,-1.73397618032478,-0.651971802928713,-1.01231731652886,1,-2.39826529978235
"237",13732,907414030,4908 WALLER ST,239000,5/1/2016 0:00,Normal,202600,Dwg&Lot,2004,1414,24,8773,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,201604604,-0.938313875774836,-0.553929485583425,-1.24553929880709,0.207655062197157,-2.5301275979682
"238",8344,527165300,3828 COLUMBINE AVE,130900,8/1/1993 0:00,Abnorml,205500,Dwg&Lot,1993,1741,0,9443,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Gilbert,542-560,-1.03685111562503,-0.570050374437415,-1.56960623920295,0.169520157082113,-3.00698757218328
"239",15380,528102100,3321 SEDWICK ST,368500,11/1/2014 0:00,Normal,357200,Dwg&Lot,2007,1694,1382,12030,3,Yes,1,Single-family detached (includes detached townhouses),One story,NridgHt,201410159,-0.998847725697867,-0.722902086413129,-1.52680314396599,0.142593315048047,-3.10595964102894
"240",2634,908225320,148 S FRANKLIN AVE,124500,4/1/2013 0:00,Normal,136300,Dwg&Lot,1945,1487,0,8741,3,Yes,1,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,Edwards,201304837,-2.05542026049401,-0.553358029080028,-1.31913638390549,-4.667171707192,-8.59508638067153
"241",15871,528458110,2711 CAMBRIDGE DR,262500,4/1/2010 0:00,Normal,275100,Dwg&Lot,2008,1566,1078,9000,3,Yes,0,Single-family detached (includes detached townhouses),One story,Somerst,1004363,-1.02361718901722,-0.558606577908347,-1.39847659356426,0.154682497497796,-2.82601786299203
"242",2374,902207010,210 E 11TH ST,110500,8/1/2007 0:00,Normal,106100,Dwg&Lot,1945,866,329,3880,2,Yes,0,Single-family detached (includes detached townhouses),One story,OldTown,709731,-2.05542026049401,-0.577975648668409,-1.06553715020531,0.246117602940319,-3.45281545642742
"243",232,902325160,828 BURNETT AVE,86500,11/1/2010 0:00,Normal,88500,Dwg&Lot,1900,1440,0,5000,2,Yes,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,OldTown,201011506,-2.74734194476343,-0.563120421087138,-1.27183461486758,0.246117602940319,-4.33617937777783
"244",6764,531452010,1302 INDIANA AVE,120000,4/1/2009 0:00,Normal,137000,Dwg&Lot,1980,1219,0,10762,3,Yes,1,Townhouse:  end unit,Two story,SawyerW,903830,-1.48562188802935,-0.632262746096239,-1.06692695304925,0.169520157082113,-3.01529143009273
"245",9028,531380080,5307 MARYLAND ST,205000,5/1/2010 0:00,Normal,251900,Dwg&Lot,1994,2110,695,8880,3,Yes,2,Single-family detached (includes detached townhouses),Two story,SawyerW,1004976,-1.01185072368496,-0.556042008177506,-1.96016874597439,0.169520157082113,-3.35854132075475
"246",7752,527354040,2006 POLK DR,241500,6/1/2006 0:00,Normal,253400,Dwg&Lot,1988,1872,929,10400,3,Yes,1,Single-family detached (includes detached townhouses),One story,NWAmes,201400793,-1.1938695632816,-0.611500297170446,-1.70800069398681,0.211509979623512,-3.30186057481534
"247",423,902301120,820 WILSON AVE,137000,4/1/2006 0:00,Normal,150400,Dwg&Lot,1910,1928,0,9142,3,Yes,0,Single-family detached (includes detached townhouses),Two story,OldTown,604598,-2.47450334328682,-0.562122811512521,-1.76486964003698,0.246117602940319,-4.555378191896
"248",2977,535303050,1803 WILSON AVE,140000,6/1/2006 0:00,Normal,161700,Dwg&Lot,1954,1375,0,11310,2,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,607354,-1.93356965042571,-0.668511609601975,-1.2061266283858,0.366437186804748,-3.44177070160873
"249",13081,907192150,5443 CLEMENS BLVD,180000,9/1/2007 0:00,Normal,198200,Dwg&Lot,2003,1668,0,11317,3,Yes,0,Single-family detached (includes detached townhouses),Two story,CollgCr,711193,-0.927969431336756,-0.669007785461612,-1.500572008338,0.207655062197157,-2.88989416293921
"250",4105,906426060,4813 DOVER DR,277000,6/1/2007 0:00,Normal,343900,Dwg&Lot,1958,2144,697,159000,4,Yes,2,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,ClearCr,802338,-1.88441230174866,-17.0625595046654,-1.9981635464515,1,-19.9451353528656
"251",2119,534451150,1422 SUMMIT AVE,145000,6/1/2016 0:00,Normal,103900,Dwg&Lot,1940,1290,0,5350,3,Yes,0,Single-family detached (includes detached townhouses),One story,BrkSide,201605036,-2.09274795164585,-0.559059481222746,-1.09852345013954,0.162349867976044,-3.58798101503209
"252",15319,911370450,417 ASPEN RIDGE RD,375000,10/1/2007 0:00,Partial,283200,Dwg&Lot,2006,1625,1573,5568,2,Yes,1,Townhouse:  end unit,One story,Crawfor,201610224,-0.97546921316367,-0.4809159195077,-1.45740375380508,0.153472234444765,-2.76031665203168
"253",13644,531376010,1410 CALIFORNIA AVE,229900,5/1/2015 0:00,Normal,204700,Dwg&Lot,2004,1640,481,8366,3,Yes,0,Single-family detached (includes detached townhouses),Two story,SawyerW,201505374,-0.938313875774836,-0.548001701329535,-1.47232954815413,0.169520157082113,-2.78912496817639
"254",4501,534403040,1310 20TH ST,158000,10/1/2007 0:00,Normal,186700,Dwg&Lot,1964,1302,850,9350,3,Yes,0,Single-family detached (includes detached townhouses),Split level,NAmes,712037,-1.8304157799464,-0.567981530132374,-1.1363107313445,0.366437186804748,-3.16827085461853
"255",3676,535152250,2304 JENSEN AVE,145000,6/1/2010 0:00,Normal,158000,Dwg&Lot,1957,1314,922,8400,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,1005404,-1.8954324673458,-0.548371531086075,-1.14739711363314,0.366437186804748,-3.22476392526027
"256",10604,528321100,3205 EVERGREEN RD,281900,6/1/2000 0:00,Normal,342800,Dwg&Lot,1999,2292,1006,8984,3,Yes,1,Single-family detached (includes detached townhouses),Two story,NoRidge,201205653,-0.927731443476466,-0.526409827973738,-2.1642565160125,0.169705196858899,-3.4486925906038
"257",12968,528490080,2312 CLAYTON DR,265000,6/1/2016 0:00,Normal,230300,Dwg&Lot,2003,1728,503,8791,3,Yes,0,Single-family detached (includes detached townhouses),Two story,Somerst,201605513,-0.927969431336756,-0.55426267822804,-1.56095158802569,0.154682497497796,-2.8885012000927
"258",15119,906380130,313 HARTFORD DR,220000,3/1/2009 0:00,Abnorml,291500,Dwg&Lot,2006,1604,1334,8814,3,Yes,1,Single-family detached (includes detached townhouses),One story,CollgCr,903492,-0.97546921316367,-0.554706892011136,-1.43658760032861,0.207655062197157,-2.75910864330626
"259",11712,907194020,717 WILDER BLVD,248000,2/1/2016 0:00,Normal,209100,Dwg&Lot,2001,1792,684,12435,3,Yes,1,Single-family detached (includes detached townhouses),Two story,CollgCr,201602707,-0.920571999504426,-0.756510517749683,-1.6265721007364,0.207655062197157,-3.09599955579335
"260",3999,902427045,422 E 6TH ST,85000,11/1/2012 0:00,Normal,91100,Dwg&Lot,1956,882,0,12702,2,Yes,0,Single-family detached (includes detached townhouses),One story,OldTown,201214051,-1.90642506554443,-0.779780901887149,-1.05531045749081,0.246117602940319,-3.49539882198207
"261",4969,916325060,2409 TIMBERLAND RD,197500,8/1/2013 0:00,Abnorml,217800,Dwg&Lot,1961,1352,232,19887,3,Yes,1,Single-family detached (includes detached townhouses),One story,Timber,201309862,-1.78717956190759,-1.42365459293089,-1.13268418253842,0.366437186804748,-3.97708115057216
"262",15561,906380070,5328 TABOR DR,320000,10/1/2013 0:00,Normal,349700,Dwg&Lot,2007,2574,0,9588,3,Yes,1,Single-family detached (includes detached townhouses),Two story,CollgCr,201313365,-0.998847725697867,-0.575516245453124,-2.51629889766267,0.207655062197157,-3.8830078066165
"263",6794,532353180,1330 WOODSTOCK AVE,150000,3/1/2015 0:00,Normal,168900,Dwg&Lot,1977,1212,506,8471,3,Yes,1,Single-family detached (includes detached townhouses),Split level,Sawyer,201502718,-1.57615647023158,-0.549276783061092,-1.06895197906342,0.184833613260601,-3.00955161909549
"264",948,902206040,1021 CARROLL AVE,130000,4/1/2010 0:00,Normal,137300,Dwg&Lot,1929,1316,926,5500,3,Yes,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,OldTown,1004679,-2.17456499957258,-0.557407459053507,-1.1492655909708,0.246117602940319,-3.63512044665657
"265",865,902100030,618 13TH ST,66750,5/1/2012 0:00,Normal,77400,Dwg&Lot,1925,764,0,5232,2,No,0,Single-family detached (includes detached townhouses),One story,OldTown,201205154,-2.20325062819859,-0.560402240249777,-1.15308744527414,0.246117602940319,-3.67062271078219
"266",7373,527302050,3318 EISENHOWER AVE,175500,6/1/2008 0:00,Normal,202500,Dwg&Lot,1981,1422,816,12090,3,Yes,1,Single-family detached (includes detached townhouses),One story,NWAmes,812968,-1.45251351504626,-0.727754740774615,-1.25366993969566,0.211509979623512,-3.22242821589302
"267",9621,527107240,2035 WYNGATE DR,185000,6/1/2006 0:00,Normal,209800,Dwg&Lot,1997,1511,714,11207,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Gilbert,606504,-0.951837162075132,-0.661293820863412,-1.34336149776882,0.169705196858899,-2.78678728384846
"268",1922,909175050,429 HAYWARD AVE,179500,7/1/2008 0:00,Normal,202300,Dwg&Lot,1939,2192,378,8400,4,Yes,1,Single-family detached (includes detached townhouses),Two and one-half story:  3rd level finished,S&W ISU,807885,-2.10087768467334,-0.548371531086075,-2.05288834387661,1,-3.70213755963602
"269",2755,910203020,1312 S 2ND ST,139900,5/1/2016 0:00,Normal,122500,Dwg&Lot,1940,778,528,6900,2,Yes,1,Single-family detached (includes detached townhouses),One story,IDOTRR,201604834,-2.09274795164585,-0.545412732247726,-1.13972341051877,0.155484591703785,-3.62239950270856
"270",7158,908152070,300 WELLONS DR,148000,5/1/2007 0:00,Normal,164600,Dwg&Lot,1976,1113,751,7917,3,Yes,1,Single-family detached (includes detached townhouses),One story,Edwards,704893,-1.60646357736582,-0.544502650458926,-1.02084753451755,-4.667171707192,-7.83898546953429
"271",15008,528480070,2512 KINGSTON DR,270000,7/1/2010 0:00,Abnorml,293600,Dwg&Lot,2006,1939,750,10728,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Somerst,201104858,-0.97546921316367,-0.630241564374733,-1.77608981863735,0.154682497497796,-3.22711809867796
"272",3192,905401045,516 OLIVER CIR,241500,4/1/2008 0:00,Normal,235000,Dwg&Lot,1954,1363,1289,39104,2,Yes,2,Single-family detached (includes detached townhouses),One story,ClearCr,1001203,-1.93356965042571,-4.12045449503326,-1.19403263099016,1,-6.24805677644912
"273",10630,528382020,2913 ARROWWOOD CIR,287250,6/1/2011 0:00,Normal,321900,Dwg&Lot,1999,2270,524,11764,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NoRidge,201105228,-0.927731443476466,-0.701966234773857,-2.14208117384708,0.157473634560831,-3.61430521753658
"274",3722,535175030,310 24TH ST,139000,4/1/2009 0:00,Normal,183300,Dwg&Lot,1958,1632,1240,9600,3,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,904237,-1.88441230174866,-0.575915962376945,-1.46435159558144,0.366437186804748,-3.5582426729023
"275",7427,923275200,3827 MINNETONKA AVE,124500,6/1/2007 0:00,Normal,131300,Dwg&Lot,1982,816,546,8314,2,Yes,0,Single-family detached (includes detached townhouses),One story,Mitchel,707147,-1.41682434726767,-0.547455839854306,-1.1049993904667,0.179445972994858,-2.88983360459382
"276",1053,903201080,1111 ORCHARD DR,205000,10/1/2009 0:00,Normal,222500,Dwg&Lot,1925,1548,0,7264,3,No,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,BrkSide,913086,-2.20325062819859,-0.543766030037217,-1.38043458581875,0.162349867976044,-3.96510137607851
"277",13424,914476520,609 ONYX ST,201000,4/1/2010 0:00,Normal,277000,Dwg&Lot,2003,1560,1326,9196,3,Yes,0,Single-family detached (includes detached townhouses),One story,Mitchel,1004081,-0.927969431336756,-0.563585359084338,-1.39238407818416,0.179445972994858,-2.70449289561039
"278",2815,527276150,917 TOP O HOLLOW RD,161406,8/1/2016 0:00,Normal,133200,Dwg&Lot,1951,864,120,19138,2,Yes,0,Single-family detached (includes detached townhouses),One story,Gilbert,201608594,-1.97642414756633,-1.47471655018834,-1.0668861334995,0.169705196858899,-4.34832163439526
"279",14935,528106040,3306 STOCKBURY ST,390000,12/1/2014 0:00,Normal,390000,Dwg&Lot,2006,2121,1191,14450,3,Yes,1,Single-family detached (includes detached townhouses),One story,NridgHt,201501677,-0.97546921316367,-0.947275740170676,-1.97248931743673,0.142593315048047,-3.75264095572302
"280",7012,905352030,212 TRAIL RIDGE RD,192000,3/1/2008 0:00,Normal,209000,Dwg&Lot,1977,2022,392,10005,4,Yes,1,Single-family detached (includes detached townhouses),Two story,ClearCr,802926,-1.57615647023158,-0.592218806682902,-1.86381097660404,1,-3.03218625351853
"281",7873,906204140,1102 IDAHO AVE,228500,1/1/2007 0:00,Normal,251700,Dwg&Lot,1989,1982,421,11287,3,Yes,1,Single-family detached (includes detached townhouses),Two story,SawyerW,700982,-1.15934835530258,-0.666886473727614,-1.82102304803919,0.169520157082113,-3.47773771998727
"282",15015,528488110,2526 CLAYTON DR,185000,5/1/2006 0:00,Partial,214500,Dwg&Lot,2006,1262,905,7200,2,Yes,0,Single-family detached (includes detached townhouses),One story,Somerst,201409272,-0.97546921316367,-0.54387394669489,-1.10307430612847,0.154682497497796,-2.46773496848923
"283",15532,528253010,2839 ROXBORO DR,207500,4/1/2009 0:00,Normal,242400,Dwg&Lot,2007,1314,904,5063,2,Yes,1,Townhouse:  inner unit,One story,NridgHt,201104692,-0.998847725697867,-0.562369382592652,-1.14739711363314,0.142593315048047,-2.56602090687562
"284",15854,528427020,3211 CULLEN DR,278000,6/1/2015 0:00,Normal,265900,Dwg&Lot,2008,1468,0,9612,3,Yes,1,Single-family detached (includes detached townhouses),One story,Somerst,201510292,-1.02361718901722,-0.576358211325112,-1.30010560410351,0.154682497497796,-2.74539850694805
"285",8399,531451030,1511 INDIANA AVE,183000,6/1/2013 0:00,Normal,195900,Dwg&Lot,1992,1575,430,8012,2,Yes,0,Townhouse:  end unit,One story,SawyerW,201307189,-1.06449911005956,-0.544959900389505,-1.40767239995344,0.169520157082113,-2.84761125332039
"286",15028,533208070,2802 NORTHRIDGE LN,156000,9/1/2012 0:00,Normal,169700,Dwg&Lot,2006,1250,321,4251,2,Yes,0,Townhouse:  end unit,Two story,Somerst,201210971,-0.97546921316367,-0.572755858278565,-1.09369787188663,0.154682497497796,-2.48724044583107
"287",4701,535402220,201 E O NEIL DR,159000,6/1/2006 0:00,Normal,172600,Dwg&Lot,1962,1734,652,9786,3,Yes,1,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,NAmes,201409096,-1.84949325252919,-0.582991096635998,-1.56711758574053,0.366437186804748,-3.63316474810097
"288",5971,527403120,3307 NIXON AVE,152000,7/1/2016 0:00,Normal,114400,Dwg&Lot,1971,858,585,8125,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,201607363,-1.73397618032478,-0.545724078753556,-1.07135106231053,0.366437186804748,-2.98461413458413
"289",5197,532377060,1327 ALABAMA LN,129000,9/1/2013 0:00,Normal,139900,Dwg&Lot,1967,900,450,9819,3,Yes,0,Single-family detached (includes detached townhouses),One story,Sawyer,201311284,-1.79543580675333,-0.584331741754627,-1.04519147802366,0.184833613260601,-3.24012541327101
"290",536,903425280,622 RIDGEWOOD AVE,150000,7/1/2011 0:00,Normal,160200,Dwg&Lot,1915,1396,0,8730,3,Yes,0,Single-family detached (includes detached townhouses),Two story,BrkSide,201107167,-2.36064595073656,-0.553168761436147,-1.22722804779156,0.162349867976044,-3.97869289198822
"291",15131,907290260,710 POE AVE,233230,7/1/2006 0:00,Partial,275600,Dwg&Lot,2006,1919,762,15611,3,Yes,1,Single-family detached (includes detached townhouses),Two story,CollgCr,608470,-0.97546921316367,-1.06927318039987,-1.75570220652484,0.207655062197157,-3.59278953789122
"292",702,909101180,213 S HYLAND AVE,142000,10/1/2014 0:00,AdjLand,130200,Dwg&Lot,1912,1716,210,5687,6,No,0,Two-family conversion; originally built as one-family dwelling,Two story,S&W ISU,201409348,-2.428971920121,-0.555331139082221,-1.54886991821372,1,-3.53317297741693
"293",2584,905478030,3218 WEST ST,131000,1/1/2009 0:00,Normal,174200,Dwg&Lot,1949,1716,0,11409,3,Yes,1,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,Edwards,201408762,-2.0032858364629,-0.675578914526996,-1.54886991821372,-4.667171707192,-8.8949063763956
